,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Wesley Matthews,1.1,4.1,1.5,2.0,0.6,4.2,2.7,1.3,0.9,0.4,0.6
Payton Pritchard,2.8,6.6,0.5,0.7,1.7,7.7,3.2,3.0,0.4,0.1,0.6
Oshae Brissett,1.3,2.9,1.0,1.5,0.4,3.9,3.0,0.5,0.5,0.0,0.2
Lamar Stevens,1.1,2.3,0.4,0.6,0.1,2.7,1.6,0.4,0.4,0.4,0.4
Luke Kornet,2.1,3.0,0.8,1.0,0.0,5.0,3.5,0.8,0.4,0.9,0.4
Neemias Queta,2.0,3.6,0.9,1.1,0.0,4.9,4.7,0.5,0.4,0.4,0.4
Brandon Miller,10.8,25.6,3.0,3.7,4.1,28.7,7.5,4.5,1.3,1.0,3.3
JT Thor,2.6,7.2,0.2,0.5,1.0,6.4,5.3,0.8,0.4,0.8,0.4
Bryce McGowens,3.5,8.3,1.7,2.4,1.6,10.4,3.8,2.1,0.5,0.2,1.1
Ish Smith,3.7,7.7,0.1,0.1,0.1,7.6,3.3,6.2,0.6,0.1,2.6
Nick Smith Jr.,5.4,12.3,0.3,0.4,3.0,14.1,2.7,1.8,0.3,0.7,1.6
Ayo Dosunmu,6.3,13.7,1.6,2.1,1.9,16.1,5.1,3.9,1.5,0.7,1.6
Patrick Williams,7.3,16.3,2.4,3.2,2.6,19.7,7.8,2.8,1.9,1.6,2.6
Jevon Carter,3.9,11.0,0.2,0.3,2.4,10.4,1.5,2.5,1.1,0.6,1.1
Dalen Terry,1.7,4.0,1.0,1.2,0.5,4.8,3.4,2.6,0.4,0.6,1.0
Grant Williams,2.9,7.0,0.8,1.2,1.8,8.4,3.6,1.6,0.4,0.7,1.0
Jaden Hardy,2.9,7.6,0.8,1.2,1.3,7.9,2.1,1.7,0.4,0.1,0.7
Josh Green,2.7,5.9,0.5,0.9,1.0,7.0,2.8,2.4,0.9,0.2,0.9
Tim Hardaway Jr.,6.0,14.4,2.3,2.7,3.2,17.5,3.7,1.8,0.4,0.0,0.8
Derrick Jones Jr.,3.8,7.9,1.3,1.8,1.4,10.3,3.8,1.0,0.9,0.9,0.9
Dwight Powell,1.6,2.3,1.4,1.9,0.0,4.8,3.8,1.6,0.5,0.4,0.5
Seth Curry,1.6,4.2,0.5,0.5,0.9,4.5,1.6,0.9,0.5,0.1,0.5
A.J. Lawson,1.8,3.7,0.6,0.9,0.6,4.8,1.4,0.6,0.6,0.1,0.5
Christian Braun,5.9,12.8,2.7,3.6,1.4,16.0,7.1,3.3,0.8,0.8,1.5
Zeke Nnaji,2.4,5.0,1.5,2.4,0.3,6.7,4.5,1.0,0.5,1.2,1.3
Justin Holiday,3.0,6.1,0.0,0.0,1.9,7.9,2.6,2.3,1.3,0.1,0.5
Peyton Watson,5.3,10.8,2.1,2.9,1.4,14.0,5.4,1.9,1.0,1.6,1.1
Reggie Jackson,9.5,20.4,1.9,2.6,2.9,23.7,4.3,8.8,1.2,0.4,2.9
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Alec Burks,3.3,8.8,2.6,3.0,1.9,11.2,2.3,1.4,0.4,0.2,0.7
Marcus Sasser,2.6,5.6,0.6,0.7,1.1,7.0,1.6,2.4,0.6,0.2,0.8
Jaden Ivey,4.6,10.1,3.0,4.0,1.2,13.3,3.6,3.3,0.8,0.6,2.2
Isaiah Livers,1.8,5.1,0.5,0.8,1.0,5.0,2.2,1.1,0.6,0.1,0.7
Kevin Knox II,3.2,6.6,0.6,0.7,1.2,8.2,2.3,0.7,0.4,0.2,0.6
