,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Anthony Black,2.1,4.1,0.7,1.2,0.5,5.5,2.8,1.8,0.6,0.4,1.1
Ayo Dosunmu,3.0,6.5,0.8,1.1,0.9,7.8,2.4,1.9,0.8,0.3,0.8
Bennedict Mathurin,10.0,21.8,5.6,6.6,2.6,28.0,7.8,3.8,1.2,0.4,3.0
Bilal Coulibaly,6.4,12.4,2.2,3.4,2.2,17.0,8.2,3.6,1.8,1.2,3.0
Craig Porter Jr.,3.0,6.2,1.1,1.6,0.3,7.5,2.7,3.3,0.7,0.5,1.0
Daniel Theis,2.8,5.4,1.0,1.4,0.5,7.0,3.4,0.7,0.4,0.8,0.7
Dante Exum,3.7,6.4,1.0,1.3,0.9,9.3,2.9,2.9,0.6,0.2,0.9
Dyson Daniels,2.3,5.5,0.7,1.1,0.7,5.9,3.9,2.6,1.3,0.3,1.0
Eric Gordon,5.1,10.9,0.7,0.9,2.7,13.5,2.0,2.5,1.0,0.6,1.3
Gary Harris,2.4,5.7,1.0,1.2,1.3,7.2,1.7,1.9,0.9,0.2,0.5
Gary Trent Jr.,4.2,10.4,0.9,1.4,2.2,11.5,2.4,1.7,0.8,0.1,0.6
Georges Niang,3.1,7.6,0.4,0.5,1.5,8.1,3.5,1.2,0.3,0.2,0.9
Isaac Okoro,3.1,6.3,1.6,2.3,0.9,8.8,3.4,2.1,0.9,0.5,0.8
Jabari Walker,2.9,6.0,1.8,2.3,0.5,8.2,5.5,0.7,0.7,0.4,0.9
Jaden Ivey,4.4,9.7,3.0,3.9,1.1,13.0,3.6,3.1,0.8,0.6,2.0
Jaden McDaniels,4.4,8.3,0.7,1.0,1.1,10.5,2.2,1.1,0.8,0.7,1.0
Jaylin Williams,1.2,3.2,0.5,0.6,0.7,3.6,3.3,1.4,0.3,0.2,0.4
Jeremy Sochan,4.2,9.8,1.5,2.0,0.9,10.8,5.6,4.1,0.6,0.3,2.1
Jevon Carter,2.0,5.4,0.1,0.1,1.2,5.2,0.7,1.2,0.5,0.3,0.6
Jordan Hawkins,3.4,8.9,1.5,1.7,2.1,10.4,3.1,1.5,0.4,0.0,0.8
Josh Hart,6.0,13.0,1.2,1.6,2.0,15.0,12.2,5.6,1.8,0.4,2.2
Josh Richardson,3.6,8.3,1.3,1.5,1.5,10.0,2.7,3.0,0.6,0.3,1.0
Keita Bates-Diop,1.8,4.5,1.0,1.4,0.5,5.1,3.1,0.9,0.6,0.7,0.3
Kevin Huerter,3.9,9.2,0.6,0.8,1.9,10.4,3.7,2.6,0.6,0.3,0.6
Kevin Love,3.1,7.1,1.7,2.2,1.8,9.7,6.6,2.6,0.3,0.2,0.7
Kevon Looney,4.4,7.6,1.8,2.6,0.0,10.6,15.0,5.2,1.2,0.6,1.6
Killian Hayes,3.4,8.1,1.0,1.6,0.7,8.5,2.9,4.2,1.0,0.5,1.2
Kris Dunn,4.4,9.4,0.8,1.2,1.0,10.6,5.4,7.6,1.2,0.4,2.6
Luke Kornet,4.8,6.4,1.4,1.6,0.0,11.2,7.2,1.6,0.8,1.8,0.8
Malik Monk,4.9,11.0,2.2,2.5,2.6,14.5,2.6,5.2,0.6,0.6,2.2
Marcus Sasser,2.8,5.8,0.6,0.7,1.2,7.4,1.6,2.3,0.6,0.2,0.8
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Moses Moody,6.0,12.4,2.6,3.4,2.0,16.4,6.4,1.8,1.4,0.6,1.4
Nicolas Batum,4.0,7.6,0.6,1.0,2.8,11.6,7.2,4.2,1.2,1.2,1.0
Obi Toppin,9.2,15.6,2.4,3.0,2.6,23.0,7.8,2.6,1.0,1.2,1.6
Ochai Agbaji,5.2,11.4,0.6,0.8,2.4,13.2,5.0,2.0,1.2,1.0,1.4
Patrick Williams,3.9,8.4,1.3,1.6,1.4,10.4,4.1,1.5,0.9,0.9,1.1
Payton Pritchard,5.4,13.0,0.8,1.2,3.4,14.8,6.4,6.0,0.8,0.2,1.2
Peyton Watson,5.2,10.0,1.6,2.6,1.2,13.2,5.2,2.2,1.0,1.8,1.2
Precious Achiuwa,3.0,6.6,0.9,1.6,0.5,7.4,5.3,1.7,0.6,0.5,1.1
Quentin Grimes,4.4,11.2,0.2,0.6,3.2,12.4,3.0,2.2,1.2,0.0,0.8
Reggie Jackson,9.8,21.0,2.0,2.8,3.0,24.6,4.4,8.8,1.4,0.4,3.0
Rui Hachimura,4.5,9.2,1.5,2.0,1.1,11.6,3.6,1.1,0.7,0.2,0.8
Santi Aldama,4.2,9.5,0.9,1.6,1.6,11.0,5.4,1.8,0.6,0.7,1.0
Sasha Vezenkov,2.0,4.6,0.2,0.3,1.1,5.2,2.6,0.5,0.5,0.2,0.3
Talen Horton-Tucker,8.2,20.0,3.2,3.8,2.6,22.0,5.2,8.6,2.0,0.8,3.6
Trendon Watford,2.6,4.8,0.9,1.0,0.3,6.4,3.2,1.8,0.5,0.3,1.0
Tre Jones,3.3,7.0,1.1,1.3,0.5,8.2,2.8,4.9,0.8,0.1,1.4
Vince Williams Jr.,1.5,4.3,1.1,1.3,1.1,5.3,5.0,1.6,0.5,0.6,0.8
