,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Sam Hauser,5.9,13.1,0.4,0.6,4.7,16.9,7.2,1.9,0.9,0.6,0.9
Payton Pritchard,5.4,12.9,0.7,1.1,3.3,14.7,6.4,5.9,0.9,0.2,1.2
Oshae Brissett,2.3,5.3,1.5,2.5,0.8,6.9,6.2,1,1,0.1,0.5
Luke Kornet,4.3,6.3,1.8,2,0,10.4,7.3,1.7,0.9,1.9,0.8
Neemias Queta,4,7.1,1.8,2.5,0,9.8,9.7,1.1,0.9,0.6,0.8
Royce O'Neale,2.6,6.8,0.3,0.5,2,7.5,4.6,3.1,0.8,0.6,1.1
Dorian Finney-Smith,3.6,8.4,0.2,0.3,2.3,9.9,4.9,1.3,0.7,0.5,0.8
Lonnie Walker IV,4.6,9.7,1.5,2,2.3,13.1,2.5,1.5,0.6,0.4,1.3
Trendon Watford,2.5,4.7,0.9,1.1,0.3,6.2,3.2,1.7,0.5,0.3,0.9
P.J. Washington Jr.,4.9,11.5,1.5,2,1.8,13,5.2,2.3,0.9,0.7,1.5
Brandon Miller,5.4,12.8,1.5,1.9,2.1,14.4,3.8,2.2,0.6,0.5,1.6
JT Thor,1.3,3.6,0.1,0.2,0.5,3.2,2.7,0.4,0.2,0.4,0.2
Nick Richards,3.4,5,1.9,2.5,0,8.8,7.4,0.8,0.4,1.3,1
Bryce McGowens,1.8,4.2,0.9,1.2,0.8,5.2,1.9,1,0.3,0.1,0.5
Ish Smith,1.8,3.8,0.1,0.1,0.1,3.8,1.7,3.1,0.3,0.1,1.3
Nick Smith Jr.,2.7,6.2,0.2,0.2,1.5,7,1.4,0.9,0.2,0.4,0.8
Ayo Dosunmu,6.3,13.7,1.6,2.1,1.9,16.1,5.1,3.9,1.5,0.7,1.6
Patrick Williams,7.3,16.3,2.4,3.2,2.6,19.7,7.8,2.8,1.9,1.6,2.6
Andre Drummond,6.1,11.4,2.9,5.2,0,15.1,17.1,1.1,2.4,1.1,2.4
Jevon Carter,3.9,11,0.2,0.3,2.4,10.4,1.5,2.5,1.1,0.6,1.1
Dalen Terry,1.7,4,1,1.2,0.5,4.8,3.4,2.6,0.4,0.6,1
Isaac Okoro,3,6,1.6,2.2,0.9,8.5,3.4,2,0.9,0.4,0.9
Georges Niang,3.2,7.7,0.4,0.5,1.7,8.5,3.8,1.2,0.3,0.2,0.9
Craig Porter Jr.,3,5.9,1,1.5,0.3,7.2,2.7,3.2,0.7,0.5,1.1
Dean Wade,1.7,4.3,0.4,0.5,1.3,5.2,4.6,0.9,0.8,0.3,0.5
Sam Merrill,2.4,5.8,0.3,0.3,2.1,7.3,1.6,1.3,0.2,0,0.3
Tristan Thompson,1.6,2.5,0.4,1.2,0,3.7,3.8,1.1,0.2,0.3,0.6
Grant Williams,5.8,13.9,1.5,2.3,3.5,16.7,7.1,3.1,0.9,1.3,2.1
Jaden Hardy,5.8,15.1,1.5,2.2,2.7,15.8,4,3.2,0.7,0.1,1.5
Josh Green,5.1,11.3,1.1,1.7,2,13.2,5.7,4.8,1.7,0.4,1.8
Dwight Powell,3.3,4.6,3,3.9,0.1,9.5,7.3,3.1,1,0.7,1
Seth Curry,3.2,8.6,1,1.1,1.9,9.3,3.2,1.8,1.1,0.2,0.9
A.J. Lawson,3.5,7.4,1.2,1.8,1.2,9.5,2.9,1.1,1.1,0.1,1
Christian Braun,3,6.4,1.3,1.8,0.7,8,3.5,1.7,0.4,0.4,0.7
Zeke Nnaji,1.2,2.5,0.8,1.2,0.2,3.3,2.2,0.5,0.2,0.6,0.6
Justin Holiday,1.5,3,0,0,1,4,1.3,1.1,0.6,0,0.2
Peyton Watson,2.6,5.4,1,1.5,0.7,7,2.7,1,0.5,0.8,0.5
Reggie Jackson,4.7,10.2,0.9,1.3,1.4,11.9,2.1,4.4,0.6,0.2,1.4
Marvin Bagley III,4.1,7,1.9,2.3,0,10.2,4.6,1,0.2,0.6,1.2
Alec Burks,3.3,8.8,2.6,3,1.9,11.2,2.3,1.4,0.4,0.2,0.7
Marcus Sasser,2.6,5.6,0.6,0.7,1.1,7,1.6,2.4,0.6,0.2,0.8
Isaiah Livers,1.8,5.1,0.5,0.8,1,5,2.2,1.1,0.6,0.1,0.7
Kevin Knox II,3.2,6.6,0.6,0.7,1.2,8.2,2.3,0.7,0.4,0.2,0.6
James Wiseman,2.7,4,0.8,1.3,0,6.3,4.2,0.7,0.1,0.7,0.9
Killian Hayes,3,7.6,0.9,1.4,0.6,7.6,2.9,4.6,1,0.5,1.3
Stanley Umude,1.3,2.9,1.4,1.5,0.9,5,1.9,0.5,0.3,0.3,0.7
Moses Moody,6.3,13.1,2.6,3.4,2.2,17.5,6.2,1.6,1.4,0.6,1.4
Kevon Looney,4.5,7.5,2,2.8,0,11,14.5,4.9,1.1,0.5,1.5
Andrew Wiggins,8.9,21.3,3.8,5.5,1.9,23.5,8.2,2.6,0.7,0.7,3
Dario Saric,7.2,15.2,3.3,3.8,3,20.6,11.2,4.4,1.2,0.3,2.4
Jonathan Kuminga,9.4,18.8,5.3,7.6,1.3,25.5,8.2,3.1,1.1,0.7,2.9
Trayce Jackson-Davis,5.8,8.4,2.1,3.4,0,13.7,8.7,2,0.7,1.6,1.6
Aaron Holiday,5,11.5,1.3,1.4,2.6,13.9,3.9,3.4,1.1,0.2,1.6
Jae'Sean Tate,4.1,8.3,1.2,1.6,1.1,10.4,7.2,2.1,1.5,0.4,0.9
Jeff Green,4.5,8.2,3.8,4.6,0.7,13.4,4,1.5,0.3,0.9,1.4
Cam Whitmore,6.8,12.6,2.2,3.2,2.2,17.8,5.4,0.6,1.7,0.2,1.5
Andrew Nembhard,3.3,6.9,0.3,0.4,0.6,7.5,1.7,4,0.9,0,1.8
Isaiah Jackson,2.8,4.1,1.4,2.1,0,7,4.2,0.9,0.6,1.3,0.7
Bruce Brown,4.4,9.3,2.1,2.5,1,11.9,4.6,2.9,1,0.3,1.2
Bennedict Mathurin,5.1,11,3.1,3.6,1.4,14.7,3.9,1.9,0.6,0.2,1.5
Jordan Nwora,2.2,4.4,0.5,0.6,0.7,5.6,1.9,0.9,0.3,0.1,0.7
Obi Toppin,4.5,7.8,1.1,1.5,1.4,11.6,3.9,1.5,0.5,0.5,0.8
Buddy Hield,4.6,10.6,0.6,0.7,2.8,12.5,3.2,2.5,0.8,0.6,1.4
Jalen Smith,3.9,6.1,1.4,1.9,1.1,10.2,5.4,1,0.2,0.5,0.9
Terance Mann,2.8,6.4,0.8,1.1,0.9,7.3,3.2,1.9,0.7,0.3,0.6
Norman Powell,4.6,9.3,2.1,2.4,2,13.4,2.4,1,0.6,0.4,0.9
Daniel Theis,2.6,5.1,0.9,1.2,0.4,6.5,3.4,0.8,0.4,0.8,0.7
Amir Coffey,1.5,3,0.5,0.6,0.5,4.1,1.6,0.7,0.2,0,0.4
P.J. Tucker,0.4,1.3,0.2,0.2,0.3,1.3,2.9,0.5,0.6,0.2,0.3
Kobe Brown,0.9,2.3,0,0.1,0.5,2.3,1.5,0.6,0.2,0.1,0.2
Cam Reddish,4.8,12.3,2.3,2.7,1.9,13.9,5.1,2.9,2.6,0.5,1.9
Jarred Vanderbilt,2.2,6.1,0.5,0.7,0.1,5.1,8.2,1.9,1.3,0.4,1.2
Christian Wood,5.2,10.8,2.7,4,1.6,14.7,11.2,1.9,0.4,1.3,2.5
Taurean Prince,7.1,16.5,1.3,1.7,4.4,19.8,5.8,3.6,1.9,0.9,1.9
Max Christie,3.8,9.4,1.1,1.4,1.4,10.1,5.9,1.9,0.9,0.6,1.6
Xavier Tillman Sr.,4.6,11.6,0.8,2.1,0.8,10.7,9.2,2.7,2.1,1.8,1.7
John Konchar,2.3,6.2,0.6,0.8,1.2,6.4,7.8,2.7,1.4,1.4,0.9
Ziaire Williams,5.7,13.8,2.1,2.5,2.3,15.7,7,2.6,1,0.5,2.4
Vince Williams Jr.,3.6,9.5,2.2,2.7,2.4,11.8,10.3,3.6,1.1,1.3,1.8
David Roddy,5.5,13.8,1.9,2.6,1.8,14.7,7.2,2.5,1,0.5,1.8
Luke Kennard,5.6,13.6,1.6,1.6,4.4,17.1,6.1,4.6,1,0.1,1.1
Santi Aldama,7.9,17.9,1.9,3.2,3.1,20.8,11,3.4,1.3,1.3,2.1
Bismack Biyombo,4.5,7.9,1.5,3.1,0,10.4,12.7,3.4,0.7,2.3,2.5
Jacob Gilyard,2.6,6.1,0.1,0.1,2.3,7.6,2,5.9,1.1,0.2,1.3
Duncan Robinson,4.8,10.5,1.4,1.6,3,13.9,2.6,3.1,0.6,0.2,1.3
Kyle Lowry,3.1,6.6,1.1,1.3,1.9,9.2,3.6,4,1.1,0.4,1.5
Josh Richardson,3.6,8.1,1.4,1.5,1.5,10,2.8,3,0.6,0.3,1
Kevin Love,3.2,7.1,2.1,2.7,1.7,10.3,6.8,2.6,0.4,0.2,0.7
Thomas Bryant,2,3.6,0.8,1,0,4.8,3.6,0.6,0.3,0.2,0.8
Orlando Robinson,2.1,3.9,0.7,1.1,0.5,5.3,3.9,1.6,0.3,0.5,0.9
Haywood Highsmith,2.3,5.5,0.6,0.8,1.2,6.4,3,1.4,1,0.6,0.8
Jamal Cain,2.1,4.7,1,1.4,0.6,5.7,2.1,0.2,0.6,0.3,0.3
Nikola Jovic,2.3,4.7,0.8,1.4,1.3,6.6,4.8,2.4,0.5,0.4,0.8
Cameron Payne,4.2,9.2,1.7,1.9,2.1,12.2,2.3,4.8,0.7,0.1,1.6
MarJon Beauchamp,4,8.1,0.8,1.2,1.6,10.3,5,1.7,0.7,0.3,1.4
Bobby Portis,9.8,19.8,2.4,3.1,1.9,24,13.2,2.1,1.5,1,1.9
Pat Connaughton,3.9,9.3,0.8,1.1,2.4,11,7.1,3.6,0.9,0.3,1.2
Andre Jackson Jr.,1.9,3.7,0.4,0.5,0.8,5.1,3.5,1.8,0.6,0.1,1
Nickeil Alexander-Walker,2.4,5.7,0.4,0.6,1.4,6.6,1.8,2.4,0.9,0.6,0.9
Jordan McLaughlin,0.9,2.2,0.2,0.2,0.5,2.4,0.8,1.6,0.7,0.2,0.1
Kyle Anderson,2.6,5.6,1.4,2.1,0.1,6.8,3.7,3.9,0.8,0.7,1.5
Troy Brown Jr.,1.5,3.4,0.6,0.7,0.9,4.5,2.1,0.9,0.2,0.1,0.5
Shake Milton,1.7,4.3,1.2,1.4,0.4,5,1.4,1.3,0.5,0.1,0.8
Jordan Hawkins,6.8,17.6,2.8,3.3,4.2,20.7,5.6,2.8,0.6,0.2,1.5
Jeremiah Robinson-Earl,3.2,5.9,0.8,0.8,1,8.2,5.1,1.1,0.5,0.4,1
Larry Nance Jr.,3.7,7,1.1,1.7,0.8,9.3,10.5,2.1,1.9,0.8,1.9
Dyson Daniels,4.7,10.8,1.5,2.3,1.4,12.3,7.7,5.4,2.7,0.7,1.8
Naji Marshall,5.6,12.1,3.1,3.8,1.9,16.2,7.7,4.3,1.4,0.4,2.2
Jose Alvarado,4.9,12,1.4,2.3,2.5,13.7,4.8,3.8,2.1,0.9,1.7
Quentin Grimes,4.9,12.2,0.6,0.8,3.6,13.9,3.4,2.1,1.5,0.1,0.9
Precious Achiuwa,5.6,12.5,1.6,2.8,0.9,13.7,10.3,3.1,1.1,1,2.1
Donte DiVincenzo,7.5,15.9,1.6,2.1,5.1,21.6,6.1,3.9,2.2,0.6,2.1
Malachi Flynn,3.3,8.2,1.1,1.4,1.6,9.4,3.9,4.3,1.1,0.4,1.9
Miles McBride,2.3,5.2,0.3,0.4,1.5,6.5,0.8,1.5,0.7,0,0.2
Cason Wallace,5.4,10.3,0.9,1.1,2.2,13.9,4.2,3,1.3,0.9,1
Isaiah Joe,6.3,13.9,1.6,1.9,4.5,18.7,4.5,2.1,1.2,0.7,1.3
Kenrich Williams,3.7,7.5,0.2,0.8,1.7,9.3,5.6,3.4,1.1,0.2,0.8
Aaron Wiggins,4,6.8,1.2,1.6,1,10.2,4.6,1.5,0.8,0.2,1.1
Jaylin Williams,2.3,6.1,0.9,1,1.3,6.9,6.3,2.9,0.7,0.4,0.7
