,FGM,FGA,FTM,FTA,3PTM,PTS,REB,AST,ST,BLK,TO
Al Horford,5.8,12.0,0.8,0.8,2.8,15.0,14.0,5.8,0.8,2.0,1.8
Ausar Thompson,3.7,8.1,1.3,1.9,0.3,9.1,7.1,2.2,0.8,1.1,1.6
Ayo Dosunmu,3.0,6.5,0.8,1.1,0.9,7.8,2.4,1.9,0.8,0.3,0.8
Bennedict Mathurin,10.0,21.8,5.6,6.6,2.6,28.0,7.8,3.8,1.2,0.4,3.0
Bilal Coulibaly,6.4,12.4,2.2,3.4,2.2,17.0,8.2,3.6,1.8,1.2,3.0
Brandon Miller,5.6,13.0,1.6,1.9,2.1,14.9,3.8,2.2,0.6,0.5,1.7
Bruce Brown,8.6,19.0,3.8,4.8,2.0,23.2,9.2,5.8,2.2,0.6,2.2
Cam Thomas,8.3,18.6,3.6,4.5,2.1,22.4,2.6,2.3,0.6,0.4,1.7
Caris LeVert,5.8,13.8,2.5,3.3,1.8,16.0,3.4,3.9,1.0,0.4,1.4
Cole Anthony,4.8,10.8,3.3,4.0,1.3,14.3,4.4,3.5,0.8,0.4,1.8
Dario Saric,7.2,15.6,3.4,4.0,3.0,21.0,11.6,4.2,1.2,0.4,2.4
Deni Avdija,8.8,18.0,3.6,4.8,1.8,23.2,11.8,7.6,1.8,0.6,3.0
Dyson Daniels,2.3,5.5,0.7,1.1,0.7,5.9,3.9,2.6,1.3,0.3,1.0
Eric Gordon,5.1,10.9,0.7,0.9,2.7,13.5,2.0,2.5,1.0,0.6,1.3
Gary Harris,2.4,5.7,1.0,1.2,1.3,7.2,1.7,1.9,0.9,0.2,0.5
Gary Trent Jr.,4.2,10.4,0.9,1.4,2.2,11.5,2.4,1.7,0.8,0.1,0.6
Georges Niang,3.1,7.6,0.4,0.5,1.5,8.1,3.5,1.2,0.3,0.2,0.9
Goga Bitadze,2.9,4.8,1.4,2.1,0.0,7.2,6.0,1.7,0.7,1.7,0.9
Isaac Okoro,3.1,6.3,1.6,2.3,0.9,8.8,3.4,2.1,0.9,0.5,0.8
Jabari Walker,2.9,6.0,1.8,2.3,0.5,8.2,5.5,0.7,0.7,0.4,0.9
Jaden McDaniels,4.4,8.3,0.7,1.0,1.1,10.5,2.2,1.1,0.8,0.7,1.0
Jaime Jaquez Jr.,5.3,10.5,2.1,2.5,1.1,13.7,3.9,2.6,1.1,0.3,1.6
John Collins,10.2,21.6,3.8,5.0,2.8,27.2,15.8,1.4,1.2,1.8,3.0
Jordan Hawkins,3.4,8.9,1.5,1.7,2.1,10.4,3.1,1.5,0.4,0.0,0.8
Josh Hart,6.0,13.0,1.2,1.6,2.0,15.0,12.2,5.6,1.8,0.4,2.2
Josh Richardson,3.6,8.3,1.3,1.5,1.5,10.0,2.7,3.0,0.6,0.3,1.0
Kelly Oubre Jr.,9.8,20.6,3.2,4.6,3.4,26.0,8.2,1.6,2.4,0.8,1.6
Kevin Huerter,3.9,9.2,0.6,0.8,1.9,10.4,3.7,2.6,0.6,0.3,0.6
Kevin Love,3.1,7.1,1.7,2.2,1.8,9.7,6.6,2.6,0.3,0.2,0.7
Kevon Looney,4.4,7.6,1.8,2.6,0.0,10.6,15.0,5.2,1.2,0.6,1.6
Killian Hayes,3.4,8.1,1.0,1.6,0.7,8.5,2.9,4.2,1.0,0.5,1.2
Kyle Lowry,3.1,6.8,1.1,1.3,2.0,9.3,3.6,4.1,1.1,0.3,1.4
Luguentz Dort,3.7,8.0,1.8,2.2,1.9,11.1,3.9,1.3,0.8,0.8,0.9
Luke Kornet,4.8,6.4,1.4,1.6,0.0,11.2,7.2,1.6,0.8,1.8,0.8
Malik Monk,4.9,11.0,2.2,2.5,2.6,14.5,2.6,5.2,0.6,0.6,2.2
Marcus Sasser,2.8,5.8,0.6,0.7,1.2,7.4,1.6,2.3,0.6,0.2,0.8
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,10.2,4.6,1.0,0.2,0.6,1.2
Moses Moody,6.0,12.4,2.6,3.4,2.0,16.4,6.4,1.8,1.4,0.6,1.4
Naz Reid,4.7,9.4,1.3,1.4,1.9,12.6,4.4,1.0,0.7,0.6,1.4
Nicolas Batum,4.0,7.6,0.6,1.0,2.8,11.6,7.2,4.2,1.2,1.2,1.0
Norman Powell,4.7,9.2,2.1,2.4,1.9,13.3,2.3,1.0,0.6,0.4,0.9
Obi Toppin,9.2,15.6,2.4,3.0,2.6,23.0,7.8,2.6,1.0,1.2,1.6
Ochai Agbaji,5.2,11.4,0.6,0.8,2.4,13.2,5.0,2.0,1.2,1.0,1.4
Onyeka Okongwu,3.7,6.4,1.8,2.1,0.4,9.6,6.7,1.5,0.5,0.9,0.8
P.J. Washington Jr.,5.0,11.8,1.6,2.1,1.8,13.3,5.4,2.3,0.9,0.8,1.5
Patrick Williams,3.9,8.4,1.3,1.6,1.4,10.4,4.1,1.5,0.9,0.9,1.1
Paul Reed,4.6,8.4,1.2,1.6,0.4,11.0,9.0,2.6,1.4,1.4,1.8
Payton Pritchard,5.4,13.0,0.8,1.2,3.4,14.8,6.4,6.0,0.8,0.2,1.2
Peyton Watson,5.2,10.0,1.6,2.6,1.2,13.2,5.2,2.2,1.0,1.8,1.2
Quentin Grimes,4.4,11.2,0.2,0.6,3.2,12.4,3.0,2.2,1.2,0.0,0.8
RJ Barrett,12.6,29.6,8.0,9.8,3.2,36.6,8.8,4.8,0.8,0.6,3.8
Rui Hachimura,4.5,9.2,1.5,2.0,1.1,11.6,3.6,1.1,0.7,0.2,0.8
Sam Hauser,6.0,13.2,0.6,0.6,4.8,17.2,7.2,2.0,1.0,0.6,1.0
Santi Aldama,4.2,9.5,0.9,1.6,1.6,11.0,5.4,1.8,0.6,0.7,1.0
Talen Horton-Tucker,8.2,20.0,3.2,3.8,2.6,22.0,5.2,8.6,2.0,0.8,3.6
Taurean Prince,3.6,8.3,0.6,0.8,2.2,10.1,2.8,1.8,0.9,0.5,1.0
Vince Williams Jr.,1.5,4.3,1.1,1.3,1.1,5.3,5.0,1.6,0.5,0.6,0.8
